inquiry_id,question,sql
inquiry_DxfBdoQx,List the LinkedIn profiles of all candidates who held at least 1 interview,"  with interviews as    (SELECT ae.created_at,     COALESCE(       JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id'),       JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId')     ) AS job_id,         COALESCE(       JSON_EXTRACT_SCALAR(DATA, '$.dms.application_id'),       JSON_EXTRACT_SCALAR(DATA, '$.dms.applicationId')     ) AS application_id   FROWHERE     event_name = 'Interaction'     AND (       JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id') IS NOT NULL OR       JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId') IS NOT NULL     ) AND created_at >= '2024-11-01' AND created_at < '2024-11-29'M     `draftboard-368620.JEDIFY.analytic_events` AS ae   WHERE     event_name = 'Interaction'     AND (       JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id') IS NOT NULL OR       JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId') IS NOT NULL     )   UNION ALL   SELECT r.created_at,     COALESCE(       JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id'),       JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId')     ) AS job_id,             COALESCE(       JSON_EXTRACT_SCALAWHERE     event_name = 'Interaction'     AND (       JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id') IS NOT NULL OR       JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId') IS NOT NULL     ) AND created_at >= '2024-11-01' AND created_at < '2024-11-29')R(DATA, '$.dms.application_id'),       JSON_EXTRACT_SCALAR(DATA, '$.dms.applicationId')     ) AS application_id   FROM     `draftboard-368620.JEDIFY.records` AS r   WHERE     event_name = 'Interaction'     AND (       JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id') IS NOT NULL OR       JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId') IS NOT NULL     ))  select c.name as company_name,j.title as job_title, ca.first_name, ca.last_name, ca.linkedin_url from interviews join `JEDIFY.job_applications` ja on interviews.application_id = ja.id  left join `JEDIFY.jobs` j on ja.job_id = j.id left join `JEDIFY.companies` c on j.company_id = c.id left join `JEDIFY.candidates` ca on ja.contact_id = ca.contact_id  where interviews.created_at is not null"
inquiry_TSbsbAJk,Are more remote jobs being offered over time?,"\nDECLARE start_date DATE DEFAULT DATE '2024-11-01';\nDECLARE end_date DATE DEFAULT DATE '2024-11-29';\nDECLARE days_diff INT64 DEFAULT DATE_DIFF(end_date, start_date, DAY);\nWITH date_range AS (\n  SELECT \n    j.created_at,\n    j.id,\n    jl.workplace,\n    CASE \n      WHEN days_diff < 30 THEN FORMAT_TIMESTAMP('%m/%d/%Y', DATE(j.created_at))\n      WHEN days_diff >= 30 AND days_diff < 90 THEN FORMAT_TIMESTAMP('%m/%d/%Y',DATE_TRUNC(DATE(j.created_at), WEEK(MONDAY)))\n      ELSE FORMAT_TIMESTAMP('%m/%d/%Y',DATE_TRUNC(DATE(j.created_at), MONTH))\n    END AS bucket\n  FROM \n    `draftboard-368620.JEDIFY.jobs` AS j\n  JOIN \n    `draftboard-368620.JEDIFY.job_locations` AS jl ON j.id = jl.job_id\n  WHERE \n    j.created_at >= start_date AND \n    j.created_at < end_date AND \n    j.status = 'active'\n)\nSELECT \n  bucket AS bucket_size,\n  COUNT(*) AS total_jobs,\n  SUM(CASE WHEN workplace =""remote"" THEN 1 ELSE 0 END) AS remote_jobs\nFROM \n  date_range\nGROUP BY \n  bucket_size\nORDER BY \n  bucket_size DESC;\n"
inquiry_mgkrkXmB,How many new jobs have been published?,"DECLARE start_date DATE DEFAULT '2024-11-22';\nDECLARE end_date DATE DEFAULT '2024-11-29';\nDECLARE days_diff INT64 DEFAULT DATE_DIFF(end_date, start_date, DAY);\n\nWITH date_range AS (\n    SELECT \n        j.published_at, \n        j.id, \n        CASE \n            WHEN days_diff < 30 THEN FORMAT_TIMESTAMP('%m/%d/%Y', DATE(j.published_at))\n            WHEN days_diff <= 90 THEN FORMAT_TIMESTAMP('%m/%d/%Y', DATE_TRUNC(DATE(j.published_at), WEEK(MONDAY)))\n            ELSE FORMAT_TIMESTAMP('%m/%d/%Y', DATE_TRUNC(DATE(j.published_at), MONTH))\n        END AS bucket\n    FROM \n        `draftboard-368620.JEDIFY.jobs` AS j LEFT OUTER JOIN `draftboard-368620.JEDIFY.company_industries` AS ci ON j.company_id = ci.company_id \n    WHERE \n        j.published_at >= start_date AND j.published_at < end_date\n)\nSELECT \n    bucket AS bucket_size, \n    COUNT(DISTINCT id) AS new_jobs\nFROM \n    date_range\nGROUP BY \n    bucket_size\nORDER BY \n    bucket_size;\n"
inquiry_SzLjkOni,What is the monthly trend in company signups?,"SELECT COUNT(DISTINCT `name`) AS `company_count`, FORMAT_TIMESTAMP('%m/%Y', CAST(created_at AS TIMESTAMP)) as `month-year` FROM `draftboard-368620.JEDIFY.companies` AS `t` WHERE created_at >= '2024-11-22' AND created_at < '2024-11-29' GROUP BY `month-year` ORDER BY `month-year` DESC"
inquiry_BbwpqBwE,How many scouts have utilized the watchlist feature?,"SELECT distinct COUNT(DISTINCT user_id) over () as total_unique_users ,FORMAT_TIMESTAMP('%m/%d/%Y',cast(created_at as date)) date, COUNT(DISTINCT user_id) over (partition by cast(created_at as date)) AS day_unique_users FROM `JEDIFY.watchlist` wl WHERE created_at >= '2024-11-21' AND created_at < '2024-11-28' order by date "
inquiry_mjBWCAXs,What is the average number of jobs for which a scout refers candidates?,"SELECT AVG(job_count) AS average_jobs_referred FROM( SELECT ja.scout_id, COUNT(DISTINCT ja.job_id) AS job_count FROM `draftboard-368620.JEDIFY.job_applications` AS ja WHERE ja.created_at >= '2024-11-21' AND ja.created_at < '2024-11-28' GROUP BY ja.scout_id) t"
inquiry_FjUmkreH,What is the average number of scouts submitting applicants for a job?,"SELECT AVG(number_of_scouts) AS average_scouts_per_job FROM (SELECT COUNT(DISTINCT scout_id) AS number_of_scouts, job_id FROM draftboard-368620.JEDIFY.job_applications GROUP BY job_id WHERE created_at >= '2024-11-21' AND created_at < '2024-11-28') AS derived_table"
inquiry_VgpchAtY,Do the signing bonuses affect the interest of scouts in filling the position?,"SELECT bonus_amount_bucket, count(distinct app_id)/count(distinct job_id) AS total_applications FROM( SELECT j.job_id, AVG(j.bonus_amount) AS avg_bonus_amount,a.id as app_id, CASE WHEN AVG(j.bonus_amount) < 1000 THEN 'Less than $1000' WHEN AVG(j.bonus_amount) >= 1000 AND AVG(j.bonus_amount) < 3000 THEN '$1000 to $3000' WHEN AVG(j.bonus_amount) >= 3000 AND AVG(j.bonus_amount) < 7000 THEN '$3000 to $7000' WHEN AVG(j.bonus_amount) >= 7000 AND AVG(j.bonus_amount) < 10000 THEN '$7000 to $10000' ELSE 'More than $10000' END AS bonus_amount_bucket FROM `draftboard-368620.JEDIFY.job_details` AS j JOIN `draftboard-368620.JEDIFY.job_applications` AS a ON j.job_id = a.job_id WHERE a.created_at >= '2024-11-21' AND a.created_at < '2024-11-28' GROUP BY j.job_id,a.id ORDER BY avg_bonus_amount DESC) GROUP BY bonus_amount_bucket ORDER BY total_applications desc"
inquiry_VdbyVloS,Retrieve the scout leaderboard with their key performance metrics.,"SELECT u.name, COUNT(DISTINCT ja.id) AS applications, SUM( CASE WHEN ja.status >= 15 THEN 1 ELSE 0 END) as referrals\n, SUM( CASE WHEN ja.status IN (100,50) THEN 1 ELSE 0 END) AS placements FROM `draftboard-368620.JEDIFY.users` AS u JOIN `draftboard-368620.JEDIFY.job_applications` AS ja ON u.id = ja.scout_id LEFT OUTER JOIN `draftboard-368620.JEDIFY.jobs` AS j ON ja.job_id = j.id WHERE u.name IS NOT NULL and u.name <> '' AND ja.created_at >= '2024-11-21' AND ja.created_at < '2024-11-28' GROUP BY u.name, u.rating ORDER BY referrals DESC"
inquiry_zybIkFfn,Can you bucket our scouts based on the number of applications they have handled?,"WITH applicationsCount AS( SELECT scout_id, COUNT(*) AS application_count FROM `draftboard-368620.JEDIFY.job_applications` \n    WHERE created_at >= '2024-11-21' AND created_at < '2024-11-28'\n    GROUP BY scout_id) SELECT 'Less than 3 applications' AS Bucket, COUNT(CASE WHEN application_count<3 THEN 1 ELSE NULL END ) AS application_count FROM applicationsCount UNION ALL SELECT 'Between 3 and 8 applications' AS Bucket, COUNT(CASE WHEN application_count>3 AND application_count<8 THEN 1 ELSE NULL END ) AS application_count FROM applicationsCount UNION ALL SELECT 'More than 8 applications' AS Bucket, COUNT(CASE WHEN application_count>8 THEN 1 ELSE NULL END ) AS application_count FROM applicationsCount"
inquiry_YNwWOpZH,What is the relationship between a job's salary range in USD and the average candidate experience level?,"SELECT CASE WHEN j.min_amount < 50000 THEN 'Less than $50K' WHEN j.min_amount >= 50000 AND j.min_amount < 100000 THEN '$50K to $99K' WHEN j.min_amount >= 100000 AND j.min_amount < 150000 THEN '$100K to $149K' WHEN j.min_amount >= 150000 AND j.min_amount < 200000 THEN '$150K to $199K' ELSE 'More than $200K' END AS Salary_Range, j.currency, j.period, AVG(c.min_years_of_experience) AS Average_Experience FROM `draftboard-368620.JEDIFY.job_salaries` AS j JOIN `draftboard-368620.JEDIFY.jobs` AS jobs ON j.job_id = jobs.id JOIN `draftboard-368620.JEDIFY.job_applications` AS ja ON jobs.id = ja.job_id JOIN `draftboard-368620.JEDIFY.candidates` AS c ON ja.contact_id = c.contact_id WHERE ja.created_at >= '2024-11-21' AND ja.created_at < '2024-11-28' GROUP BY Salary_Range, j.currency, j.period ORDER BY Average_Experience ASC"
inquiry_TLaZFFaF,Show me the company attributes that scouts tend to submit referrals for.,"SELECT c.name AS company_name, ci.title AS company_industry, ca.partner AS company_ats, COUNT(ja.id) AS referral_count, AVG(jd.bonus_amount) AS average_bonus, AVG(jd.min_rating) AS average_min_rating FROM `draftboard-368620.JEDIFY.job_applications` AS ja JOIN `draftboard-368620.JEDIFY.companies` AS c ON ja.company_id = c.id JOIN `draftboard-368620.JEDIFY.company_industries` AS ci ON ci.company_id = c.id JOIN `draftboard-368620.JEDIFY.company_ats` AS ca ON ca.company_id = c.id JOIN `draftboard-368620.JEDIFY.job_details` AS jd ON ja.job_id = jd.job_id  WHERE ja.created_at >= '2024-11-01' AND ja.created_at < '2024-11-28'\nGROUP BY c.name, ci.title, ca.partner  ORDER BY referral_count DESC LIMIT 10"
inquiry_bcKDsgEU,What is the monthly trend in scouts signups?,"SELECT COUNT(DISTINCT t.`id`) AS `scouts_count`, FORMAT_TIMESTAMP('%m/%Y', CAST(t.created_at AS TIMESTAMP)) AS `month-year` FROM `draftboard-368620.JEDIFY.users` AS `t` join draftboard-368620.JEDIFY.user_roles ur on t.id = ur.user_id where ur.role = 10 AND t.created_at >= '2024-11-21' AND t.created_at < '2024-11-28' GROUP BY `month-year` ORDER BY `month-year` DESC\n"
inquiry_ednrZarV,What is the month-over-month growth rate of new company signups?,"  WITH MonthlyData AS ( SELECT FORMAT_TIMESTAMP('%m/%Y', created_at) AS month, COUNT(DISTINCT name) AS new_companieFROM `draftboard-368620.JEDIFY.companies` \n    WHERE created_at >= '2024-11-21' AND created_at < '2024-11-28's FROM `draftboard-368620.JEDIFY.companies` GROUP BY month ORDER BY month ), GrowthRates AS ( SELECT current_.month, current_.new_companies, LAG(current_.new_companies) OVER (ORDER BY current_.month) AS previous_companies, IFNULL(((current_.new_companies - LAG(current_.new_companies) OVER (ORDER BY current_.month)) / LAG(current_.new_companies) OVER (ORDER BY current_.month)), 0) AS growth_rate FROM MonthlyData as current_ ) SELECT month, growth_rate FROM GrowthRates ORDER BY month"
inquiry_ZjweeWmi,Produce a summary of job referrals per scout,"SELECT u.name, COUNT(DISTINCT ja.id) AS jobs_referred, SUM( CASE WHEN ja.status IN (100,35,50) THEN 1 ELSE 0 END) AS successful_referrals, SUM(CASE WHEN ja.status IN (13,14,17) THEN 1 ELSE 0 END ) AS rejected_referrals, FROM `draftboard-368620.JEDIFY.users` AS u JOIN `draftboard-368620.JEDIFY.job_applications` AS ja ON u.id = ja.scout_id WHERE u.name IS NOT NULL and u.name <> '' AND ja.created_at >= '2024-11-21' AND ja.created_at < '2024-11-28' GROUP BY u.name, u.rating ORDER BY successful_referrals DESC, rejected_referrals DESC, jobs_referred DESC LIMIT 30"
inquiry_AYwEGFxN,What is the average number of candidates referred per scout?,"SELECT AVG(referred_candidates) AS average_referred_candidates FROM (SELECT `scout_id`, COUNT(distinct contact_id) AS referred_candidates FROM `draftboard-368620.JEDIFY.job_applications` where highest_status >= 15 AND created_at >= '2024-11-21' AND created_at < '2024-11-28' GROUP BY `scout_id`) AS referral_counts"
inquiry_HFkXsJwJ,List the 10 scouts with the highest placement rate.,"SELECT CONCAT(u.first_name, ' ', u.last_name) AS scout_name, COUNT(*) AS `total_placements`, COUNTIF(`highest_status` IN(50, 100)) AS `successful_placements`, SAFE_DIVIDE(COUNTIF(`highest_status` IN(50, 100)), COUNT(*)) AS `placement_rate` FROM `draftboard-368620.JEDIFY.job_applications` ja JOIN `draftboard-368620.JEDIFY.users` u ON ja.scout_id=u.id WHERE `highest_status` IN(100, 35, 50) AND ja.created_at >= '2024-11-01' AND ja.created_at < '2024-11-27' GROUP BY scout_name ORDER BY `placement_rate` DESC LIMIT 10"
inquiry_yGfoaDpM,Show the ratio of remote jobs vs. local jobs.,"SELECT distinct FORMAT_TIMESTAMP('%m/%y', CAST(published_at AS TIMESTAMP)) as `month-year`, sum(case when workplace = 'remote' then 1 else 0 end) over () as total_remote_jobs, COUNT(DISTINCT id) over () as total_jobs , (sum(case when workplace = 'remote' then 1 else 0 end) over () / COUNT(DISTINCT id) over () ) as total_remote_ratio_from_jobs, sum(case when workplace = 'remote' then 1 else 0 end) over (partition by FORMAT_TIMESTAMP('%m/%y', CAST(published_at AS TIMESTAMP))) as monthly_remote_jobs, count(distinct id) over (partition by FORMAT_TIMESTAMP('%m/%y', CAST(published_at AS TIMESTAMP))) as monthly_jobs, (sum(case when workplace = 'remote' then 1 else 0 end) over (partition by FORMAT_TIMESTAMP('%m/%y', CAST(published_at AS TIMESTAMP)))/ count(distinct id) over (partition by FORMAT_TIMESTAMP('%m/%y', CAST(published_at AS TIMESTAMP)))) as monthly_remote_ratio_from_jobs FROM draftboard-368620.JEDIFY.jobs where published_at is not null AND published_at >= '2024-11-01' AND published_at < '2024-11-27'  ORDER BY `month-year`"
inquiry_pPbFyhlB,What is the average number of candidates interviewed per closed job?,"WITH interviews AS (\n  SELECT\n    COALESCE(\n      JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id'),\n      JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId')\n    ) AS job_id\n  FROM\n    `draftboard-368620.JEDIFY.analytic_events` AS ae\nWHERE\n    event_name = 'Interaction'\n    AND (\n      JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id') IS NOT NULL OR\n      JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId') IS NOT NULL\n    )\n    AND created_at >= '2024-11-01'\n    AND created_at < '2024-11-27'\n    AND created_at >= '2024-11-01'\n    AND created_at < '2024-11-27'\n  UNION ALL\n  SELECT\n    COALESCE(\n      JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id'),\n      JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId')\n    ) AS job_id\n  FROM\n    `draftboard-368620.JEDIFY.records` AS r\n  WHERE\n    event_name = 'Interaction'\n    AND (\n      JSON_EXTRACT_SCALAR(DATA, '$.dms.job_id') IS NOT NULL OR\n      JSON_EXTRACT_SCALAR(DATA, '$.dms.jobId') IS NOT NULL\n    )\n),\njobs_with_companies AS (\n  SELECT\n    j.id AS job_id,\n    j.status,\n    ci.company_id\n  FROM\n    `draftboard-368620.JEDIFY.jobs` AS j\n  LEFT OUTER JOIN `draftboard-368620.JEDIFY.company_industries` AS ci\n    ON j.company_id = ci.company_id\n  WHERE\n    j.status = 'archive'\n)\nSELECT\n  AVG(num_interviews) AS avg_interviews_before_close\nFROM (\n  SELECT\n    jwc.job_id,\n    COUNT(*) AS num_interviews\n  FROM\n    interviews AS i\n  JOIN jobs_with_companies AS jwc\n    ON i.job_id = jwc.job_id\n  GROUP BY\n    jwc.job_id\n)\n"
inquiry_vFdTZxJz,Which ATS's are most commonly used by companies on the platform?,"SELECT partner, count(distinct company_id) as cnt FROM `draftboard-368620.JEDIFY.company_ats` WHERE created_at >= '2024-11-20' AND created_at < '2024-11-27' group by partner"
inquiry_lEbiFZcx,How many companies have signed up for the platform?,SELECT COUNT(DISTINCT j.`company_id`) AS number_of_companies FROM `draftboard-368620.JEDIFY.jobs` AS j WHERE j.created_at >= '2024-11-19' AND j.created_at < '2024-11-26'
inquiry_FXZaIIcf,Which countries offer the highest paying jobs?,"\nSELECT t1.country_name AS Country, ROUND(AVG(t2.min_amount),0) AS Average_Minimum_Salary, ROUND(AVG(t2.max_amount),0) AS Average_Maximum_Salary FROM `draftboard-368620.JEDIFY.jobs` AS t0 JOIN `draftboard-368620.JEDIFY.job_locations` AS t1 ON t0.id = t1.job_id JOIN `draftboard-368620.JEDIFY.job_salaries` AS t2 ON t1.job_id = t2.job_id JOIN `draftboard-368620.JEDIFY.company_industries` AS t3 ON t0.company_id = t3.company_id where t1.country_name is not null and t1.country_name <> '' AND t0.created_at >= '2024-11-19' AND t0.created_at < '2024-11-26' GROUP BY t1.country_name ORDER BY Average_Maximum_Salary DESC"
